Номер ЖК,Описание
76,"Жилой комплекс представляет собой корпус высотой в 21-25 этажей. Дом спроектирован в стиле неоклассицизма. Фасады выполнены из вентилируемых материалов в светлых и темных тонах. Во всех подъездах установлены современные скоростные панорамные лифты и спроектированы дизайнерские входные группы. На каждом этаже установлены датчики движения для включения и выключения света. 

В комплексе предложено множество планировочных решений: в наличии квартиры, как классического типа, так и европланировки. Они сдаются с подчистовой отделкой, высота потолков составляет 3 метра. В квартирах предусмотрены панорамные окна.

Территория комплекса закрытая, на ней ведется видеонаблюдение. Внутренний двор оснащен современными детскими площадками и спортивными зонами. На территории комплекса спроектирован ландшафтный дизайн, выполнено озеленение территории, установлен фонтан и беседка. Для владельцев автомобилей предусмотрен двухэтажный подземный паркинг. На 25 этаже находится видовой ресторан и фитнес клуб с бассейном. 

ЖК расположен в микрорайоне Школьный (ШМР). Инфраструктура развита: 2 детских сада, 3 школы, медицинские и спортивные учреждения. До городского парка «Краснодар» — 15 минут пешком."
77,"Жилой комплекс включает в себя 4 корпуса переменной этажности: от 7 до 9 этажей. Дома возведены по долговечной кирпично-монолитной технологии. Фасады облицованы кирпичом терракотового, желтого и белого оттенков. В ЖК сделана дизайнерская отделка входных групп, предусмотрен просторный уютный вестибюль, установлены современные скоростные лифты. На первых этажах расположены колясочные.

В жилом комплексе предложено множество планировочных решений: в наличии квартиры, как классического типа, так и европланировки. Сдаются они с подчистовой отделкой и стандартными окнами. Высота потолков 2,7 метра, на первых этажах — 3,3 метра.

На территории комплекса выполнено профессиональное озеленение, проложены прогулочные аллеи. Во дворах расположены детские площадки, воркаут зоны, волейбольная и баскетбольная площадки, зоны для отдыха. На первых этажах предусмотрены коммерческие помещения.

Жилой комплекс расположен в экологически чистом районе, в поселке Пригородный. В шаговой доступности магазины, детский сад, школа, аптеки. Черное море в 100 км от комплекса. До центра города Краснодар можно добраться за 35 минут транспортом."
79,"Жилой комплекс представляет собой 10 корпусов высотой от 16 до 24 этажей. Дома построены по долговечной кирпично-монолитной технологии. Во всех подъездах установлены современные скоростные бесшумные лифты и спроектированы дизайнерские входные группы. 

В комплексе предложены планировки классического типа. Они сдаются с подчистовой отделкой, высота потолков составляет 2,8 метра.

На территории комплекса большие дворы шириной 75 метров, на них спроектирован ландшафтный дизайн, выполнено озеленение. На первых этажах расположены коммерческие помещения. На придомовой территории находятся современные детские и спортивные площадки, яркий игровой замок, зоны отдыха, лавочки, спортивные поля и беговые дорожки, зона для выгула собак. Для владельцев автомобилей предусмотрен наземный паркинг.

ЖК расположен в Славянском микрорайоне. В 5 минутах пешком находятся: детский сад и школа.  В пешей доступности больницы, аптеки, магазины. До центра Краснодара – 15 минут транспортом. "
80,"ЖК состоит из 10 корпусов высотой в 16 этажей. Фасад облицован кирпичом светлого и темного оттенков. В корпусах выполнена дизайнерская отделка входных групп. В комплексе предусмотрены велопарковки и колясочные.

В проекте предложено множество планировочных решений: в наличии квартиры, как классического типа, так и европланировки. В квартирах расположено минимальное количество несущих стен. Спроектированы внешние блоки для установки сплит-систем и дренажная система для отвода конденсата. Квартиры сдаются с подчистовой отделкой, можно дозаказать чистовую отделку, высота потолков 2.75 метров. Лоджии и балконы в комплексе остекленные.

Территория проекта охраняемая, на ней ведется видеонаблюдение. На первых этажах расположены коммерческие помещения. За основу концепции озеленения придомовой территории взяты 2 вида ландшафта — сад и лес. На газоне высажены клевер и газонные травы, а у каждого подъезда — кусты красной, белой и черной смородины. Предусмотрен автоматический полив. Во дворах спроектированы детские площадки для детей разных возрастов. Для занятия спортом предусмотрен тренажерный комплекс и универсальное спортивное поле. Для автовладельцев спроектирована стоянка.

Жилой квартал расположен в микрорайоне «Новознаменский». Внешняя инфраструктура развита, в шаговой доступности школа, магазины, поликлиника, детский сад. До центра Краснодара 35 минут транспортом."
81,"Жилой комплекс представляет собой 4 корпуса высотой в 9 этажей. В оформлении фасадов зданий используется штукатурка белого и бирюзового цвета, а также облицовочный кирпич шоколадного оттенка. Во вех домах выполнена дизайнерская отделка входных групп и оборудованы колясочные с местами для парковки велосипеда.

В ЖК предложено множество планировочных решений: в наличии квартиры как классического типа, так и европланировки. Сдаются они с подчистовой отделкой, высотой потолков 2,9 метра и витражным остекленеем лоджий.

По всей территории жилого комплекса ведется постоянное видеонаблюдение. На стилобате оборудованы детские и спортивные площадки, организованы места для отдыха и прогулочные зоны. Для владельцев автомобилей предусмотрен паркинг. 

ЖК расположен в районе Западный обход. Рядом с жилым комплексом находится 5 детских садов, 2 школы, аптеки, магазины, удобный выезд в город. До центра города можно добраться за 25 минут транспортом."
83,"Жилой комплекс состоит из 14 кирпично-монолитных корпусов комфорт-класса. Холлы, лестницы и площади общего пользования внутри комплекса выполнены в дизайнерском стиле.

Покупателям предложены студии, однокомнатные, двухкомнатные и трехкомнатные квартиры, которые сдаются с подчистовой отделкой. Высота потолков — 2,8 м.

Комплекс находится под охраной и видеонаблюдением. Первые этажи жилого комплекса предусмотрены для коммерческой недвижимости, где будут работать магазины, офисы, отделения банков, аптеки и другая бытовая инфраструктура. Придомовая территория благоустроена современными спортивными и игровыми площадками для детей, зонами для проведения досуга.

В районе развитая инфраструктура: в пешей доступности магазины, школа, детский сад, места отдыха и развлечений, парковые зоны. Мегацентр «Красная площадь» в 10 минутах транспортом."
84,"Жилой комплекс представляет собой кирпично-монолитный дом высотой в 16 этажей. В оформлении стен используется современный навесной вентилируемый фасад из керамогранита. В доме выполнена дизайнерская отделка входных групп и спроектированы колясочные с местами для хранения велосипедов. На фасадах дома находятся специальные корзины для кондиционеров.

В проекте предложено множество планировочных решений: в наличии квартиры как классического типа, так и европланировки. Сдаются они с подчистовой отделкой, высотой потолков 2,9 метра, остекленными лоджиями и балконами.

По всей закрытой территории ЖК ведется постоянное видеонаблюдение. Во дворе установлены детская и спортивная площадки, спроектировано поле для игры в футбол и баскетбол. На первых этажах продуманы коммерческие помещения. Для владельцев автомобилей предусмотрен многоуровневый паркинг.

Жилой комплекс находится в микрорайоне Горхутор. Инфраструктура развита, в пешей доступности находятся детские сады, школы, магазины, медицинские учреждения, кафе, салоны красоты. До центра города можно добраться за 20 минут."
85,"Проект представляет собой жилой квартал переменной этажности, высотой от 9 до 15 этажей. В квартале с авторской архитектурой представлены монолитные здания с фасадами из декоративного камня. Дизайнерские входные группы включают зоны для хранения колясок и велосипедов, лапомоечные и кладовые.

В комплексе представлено большое разнообразие планировочных решений: от студий до квартир с открытыми террасами и пентхаусов площадью до 135 кв. метров. Квартиры сдаются в подчистовой отделке, панорамными окнами и высотой потолков 2,85 метров.

На благоустроенной территории комплекса расположены детские площадки, зеленый бульвар для прогулок с велодорожками, зоны для игр в баскетбол и теннис, зона для йоги и тренажерная зона. Также в квартале есть собственный детский сад. Для владельцев автомобилей предусмотрен подземный паркинг.

Комплекс расположен в динамично развивающемся районе Краснодара, рядом со всей необходимой инфраструктурой. В шаговой доступности — школы, детские сады, медицинские учреждения, рестораны и магазины. Дорога до центра города займет 20 минут на автомобиле."
86,"Жилой комплекс состоит из 2 кирпично-монолитных корпусов высотой 16 этажей. Фасады облицованы кирпичом, в подъездах выполнена дизайнерская отделка. На первом этаже предусмотрены помещения для хранения колясок. В каждом корпусе установлены пассажирские и грузовые лифты.

В проекте представлены квартиры с 1–3 комнатами, с панорамными окнами и потолками высотой 2,65 метра. Жилье передается без отделки, в черновом варианте: выполнены базовые строительные работы, включая возведение стен.

На стилобатной части комплекса обустроены озелененные дворы, детские и спортивные площадки. Территория организована по концепции без машин. Предусмотрены крытый паркинг на 100 мест и открытая парковка, а также освещенные тротуары. Безопасность обеспечивается видеонаблюдением и контролем доступа на территорию. Для дополнительного комфорта жильцов доступен сервис консьержа и система умного дома.

Комплекс расположен в поселке Яблоновский Республики Адыгея. В 5 минутах пешком находится остановка общественного транспорта Космическая улица. В радиусе 5–15 минут находятся школы, детские сады, кафе, магазины, аптеки, салоны красоты и пункты выдачи. До центра Краснодара, где находятся театры, музеи и культурные достопримечательности, можно добраться за 20 минут транспортом."
87,"Новый масштабный проект переменной этажности, возведенный по кирпично-монолитной технологии строительства. В зданиях предусмотрены места для хранения колясок и велосипедов, пассажирские и грузовые лифты.

В жилом комплексе предложено множество планировочных решений: в наличии квартиры, как классического типа, так и европланировки. Сдаются они с панорамным остеклением балконов и лоджий, подчистовой отделкой и высотой потолков от 2,82 метров.

На закрытой территории расположены детские сады, школа, поликлиника, детские и спортивные площадки, выполнено озеленение скверов, бульваров и аллей. Имеется площадка для выгула и дрессировки собак. Для автовладельцев предусмотрена большая наземная стоянка.

Жилой комплекс расположен в Краснодаре вблизи станицы Елизаветинской. Инфраструктура района развита — в пешей доступности продуктовые магазины, рестораны и кафе, учебные заведения, парки и скверы."
88,"Жилой комплекс комфорт-класса состоит из монолитных зданий с фасадами из облицовочного кирпича. В корпусах установлены пассажирские и грузовые лифты. В квартирах предусмотрены увеличенные окна. Высота потолков составляет 2,72 метра. Для автомобилей оборудована охраняемая многоуровневая стоянка на 446 машиномест.

В проекте представлены квартиры с подчистовой отделкой. Внутри выполнена цементно-песчаная стяжка пола, оштукатурены стены, установлены пластиковые окна. По желанию заказчика доступна чистовая отделка с ламинатом, керамической плиткой в санузлах, натяжными потолками, полной электроразводкой с розетками и выключателями. В санузлах предусмотрены ванна, унитаз, раковина и смесители. В ванной комнате установлен технический люк.

Территория комплекса закрыта и охраняется, оборудована системой круглосуточного видеонаблюдения. Входные группы выполнены в дизайнерском стиле. Для жителей организованы велосипедные и колясочные зоны, детские и спортивные площадки, а также коммерческие помещения на первых этажах.

Комплекс расположен в поселке Яблоновский, район отличается развитой инфраструктурой и удобной транспортной доступностью. В шаговой доступности находятся несколько школ, детских садов и медицинских учреждений. На автомобиле до центра Краснодара — около 25 минут по удобным трассам. Поселок Яблоновский привлекает жителей сочетанием спокойствия пригородной жизни и близостью к городским удобствам."
89,"ЖК состоит из двух кирпично-монолитных корпусов высотой в 24 этажа. Фасад облицован кирпичом светлого и темного оттенков. В каждом подъезде расположены колясочные и велосипедные, с доступом по магнитному ключу. На первых этажах расположены лапомойки для животных. В корпусах выполнена дизайнерская отделка входных групп с максимально простой и удобной навигацией.

В проекте предложено множество планировочных решений: в наличии квартиры, как классического типа, так и европланировки. Квартиры сдаются с подчистовой отделкой и высотой потолков 2.8 метра. Лоджии и окна в квартирах — остекленные.

Территория комплекса закрытая, на ней ведется видеонаблюдение. Во дворах спроектированы современные детские и спортивные площадки, расположены зоны отдыха, выполнено озеленение. Для активного вида отдыха предусмотрена Workout зона и тренажеры на площадках. Для автовладельцев продуман подземный паркинг.

ЖК находится в районе «Губернский». Внешняя инфраструктура развита, в шаговой доступности школы, детские сады, магазины, поликлиника. До ФК «Краснодар» 15 минут транспортом. До центра краснодара можно добраться за 20 минут транспортом."
90,"Жилой комплекс представляет собой 8 кирпично-монолитных корпусов высотой в 24 этажа. Дома имеют округлую форму. Фасад выполнен из вентилируемых материалов в белых и синих цветах. Во всех подъездах установлены современные скоростные бесшумные лифты и спроектированы дизайнерские входные группы. 

В комплексе предложено множество планировочных решений: в наличии квартиры, как классического типа, так и европланировки. Они сдаются с подчистовой отделкой. 

На территории комплекса ведется видеонаблюдение. Внутренний двор оснащен современными детскими и спортивными площадками. На территории комплекса спроектирован ландшафтный дизайн, выполнено озеленение. Во дворе работает Wi-Fi. Для владельцев автомобилей предусмотрен наземный паркинг.

ЖК расположен в микрорайоне Черёмушки. В 15 минутах пешком находятся: детский сад, школа, больница, магазины. Торгово-развлекательных центры «СБС Мегамолл» – 10 минут транспортом."
91,"Жилой комплекс представляет собой 4 корпуса высотой в 16 этажей. Фасад выполнен из вентилируемых материалов.

В комплексе предложено множество планировочных решений: в наличии квартиры, как классического типа, так и европланировки. Они сдаются с подчистовой отделкой, высота потолков составляет 2,7 метра. 

Внутренний двор оснащен современными детскими и спортивными площадками. На территории комплекса выполнено озеленение. Для владельцев автомобилей предусмотрена крытая стоянка и отдельный многоуровневый паркинг. 

ЖК расположен в районе завода радиоизмерительных приборов. В 15 минутах пешком находятся: детские сады, школы, больницы, магазины. До центра Краснодара — 20 минут транспортом."
92,"Проект включает в себя 20 корпусов переменной этажности: от 5 до 8 этажей. Дом возведен по долговечной кирпично-монолитной технологии. Фасады облицованы кирпичом. В проекте выполнена дизайнерская отделка входных групп, установлены современные скоростные лифты. 

В жилом комплексе предложено множество планировочных решений: в наличии квартиры, как классического типа, так и европланировки. Сдаются они как чистовой отделкой, так и без отделки, с панорамными окнами и высотой потолков 2.75 метра.

Территория комплекса благоустроена, организованы аллеи для прогулок, детские площадки и спортивные зоны. Для автовладельцев предусмотрена стоянка.

Жилой комплекс расположен в Северском районе. В пешей доступности расположены школы, поликлиники, детские сады, магазины, отделения банков и магазины. До центра Краснодара —  50 минут транспортом."
93,"Жилой комплекс состоит из двух 10-этажных корпусов. Дома возведены по монолитной технологии строительства, фасады облицованы штукатуркой. Во входных группах выполнена дизайнерская отделка и установлены современные лифты.

В проекте представлены планировки от студий до 2-комнатных квартир. Сдаются они с подчистовой отделкой, высотой потолков 2.8 метров и стандартными окнами. Есть возможность дозаказать чистовую отделку.

Территория комплекса благоустроена: выполнено ландшафтное озеленение, спроектированы детские и спортивные площадки, места для отдыха. Для владельцев автомобилей предусмотрена стоянка.

Жилой комплекс расположен в экологически чистом районе – в поселке Краснодарский. В пешей доступности расположены школы, детский сад, супермаркеты, торговый центр, аптеки, спортивные клубы. До центра Краснодара можно добраться за 25 минут на автомобиле."
94,"Клубный дом представляет собой дом переменной этажности от 10 до 12 этажей, возведенный по кирпично-монолитной технологии строительства. В отделке вентилируемых фасадов использован облицовочный камень травертин, клинкерная плитка и керамогранит. Во входных группах и холлах выполнена авторская дизайнерская отделка. На 1 этажах расположен круглосуточный администратор-сервис и закрытые боксы для хранения колясок. Коммерческие помещения занимают нулевые этажи.

В жилом комплексе представлены планировки от студий до 3-комнатных квартир. Сдаются они с подчистовой отделкой, высотой потолков 2.65 метров и панорамными окнами. Все квартиры оборудованы адресной пожарной сигнализацией.

Территория комплекса благоустроена: выполнено ландшафтное озеленение, спроектированы детские площадки, спортивные зоны, места для отдыха и работы. Безопасность обеспечивается закрытой территорией и круглосуточным видеонаблюдением. Для владельцев автомобилей предусмотрен отдельный многоуровневый паркинг и стоянка для гостей. На территории жилого комплекса спроектировано 7-этажное здание для офисов и торговых площадей. 

Клубный дом расположен в микрорайоне Аврора. Рядом расположены школы, гимназии, детские сады, мед. учреждения, аптеки, кафе, рестораны, торговые центры. До центра г. Краснодар можно добраться за 10 минут на автомобиле."
95,"Жилой комплекс включает в себя 6 домов высотой: от 9 до 18 этажей. Дома выполнены в едином архитектурном стиле и возведены по долговечной кирпично-монолитной технологии. Вентилируемые фасады зданий отделаны декоративным камнем. В ЖК выполнена дизайнерская отделка входных групп, установлены современные скоростные лифты.

В жилом комплексе предложено множество планировочных решений: в наличии квартиры, классического типа. Сдаются они с подчистовой отделкой, панорамными окнами и высотой потолков 2,87 метра.

На закрытой территории комплекса ведется круглосуточное видеонаблюдение. Вместо обычных газонов дворы преобразуются в настоящие произведения искусства, вдохновленные художниками-авангардистами. На территории предусмотрены разнообразные зоны для отдыха. Внутренние дворы оформлены с учетом потребностей жителей, предоставляя зоны отдыха, детские площадки, спортивные зоны с тренажерами, велодорожки и зоны для прогулок. Первые этажи корпусов оборудованы помещениями под коммерческие объекты и сервисы. Для владельцев автомобилей предусмотрен подземный паркинг.

Жилой комплекс расположен в активно развивающемся районе. Рядом с комплексом расположены магазины, аптеки, рестораны и кафе, школы и детские сады. В шаговой доступности располагается СК «Баскет-Холл», ТЦ «Сыр». До центра Краснодара можно добраться за 30 минут транспортом."
96,"Жилой комплекс включает в себя 7 корпусов высотой в 8 этажей. Здания возводятся по долговечной кирпично-монолитной технологии. Фасады облицованы кирпичом белых и шоколадных тонов. В комплексе установлены современные пассажирские и грузовые лифты. Для удобства жильцов предусмотрены места для хранения велосипедов. 

В ЖК предложено множество квартир европейского формата. Сдаются они с витражными окнами, высотой потолков 2,9 метра, без отделки и возможностью дозаказа чистовой отделки.

На территории комплекса расположен свой детский сад, несколько спортивных и детских площадок, прогулочные зоны, места для отдыха, велодорожки. Организовано внутреннее озеленение. Закрытая территория делает двор максимально уютным и безопасным. В проекте реализована концепция «двор без машин». Для владельцев автомобилей предусмотрен наземный паркинг.

Жилой комплекс расположен в микрорайоне Энка, в 15 минутах от центра Краснодара. Жилой комплекс окружен 4 гектарами зеленой зоны. Рядом находятся школы и детские сады, крупные магазины и фитнес-центры. В районе хорошая транспортная доступность."
97,"Жилой комплекс представляет собой 10 корпусов высотой от 9 до 12 этажей. В подъездах выполнена дизайнерская отделка в светлой цветовой гамме. Входные группы расположены на уровне земли, без ступеней и пандусов с двумя входами: со двора и улицы. В каждой секции предусмотрены помещения для хранения велосипедов и колясок с обустроенным местом для мойки колес и лап домашних животных.

В проекте предложено множество планировочных решений: в наличии квартиры, как классического типа, так и европланировки. Сдаются они со стандартными окнами и высотой потолков 2,7 метра. 

Дворы комплекса закрыты от автомобилей и случайных прохожих. Доступ на территорию осуществляется с помощью специального магнитного ключа. Также ведется видеонаблюдение по всему периметру. В состав комплекса входит школа на 1100 мест. Во дворах предусмотрены детские площадки, для взрослых — 3-уровневый спортивно-развлекательный комплекс. Также для отдыха спроектированы деревянные беседки и качели. На первых этажах предусмотрены коммерческие помещения.

Жилой комплекс находится в развитом районе Западный обход, где есть вся необходимая инфраструктура. В 3 минутах пешком находится остановка общественного транспорта. До центра города можно добраться за 25 минут транспортом. "
98,"Жилой комплекс расположен в экологически чистом районе поселка в 15–20 минутах от центра крупного города с развитой инфраструктурой. В шаговой доступности находятся школы, детские сады, поликлиники, торговые центры и кафе. На территории есть собственная остановка общественного транспорта с регулярным сообщением. Район отличается тихой малонаселенной застройкой и свежим воздухом; в 500 метрах — зеленый берег реки. До Черного и Азовского морей, а также Кавказских гор можно быстро добраться без пробок. Здания построены по монолитно-кирпичной технологии, что гарантирует прочность и долговечность. Квартиры предлагаются с качественной предчистовой отделкой и индивидуальным газовым отоплением. Двор ограничен для въезда машин, оснащён безопасными игровыми зонами и обустроен зелёными насаждениями, создавая комфортную и безопасную среду для жизни."
99,"Дом построен по долговечной кирпично-монолитной технологии, высотой в 23 этажа. Фасад облицован кирпичом светлого и темного оттенков. В корпусе выполнена дизайнерская отделка входных групп и установлены современные лифты.

В проекте предложено множество планировочных решений: в наличии квартиры, как классического типа, так и европланировки. Сдаются они с высотой потолков 2.7 метра. Лоджии и балконы застеклены. 

Территория жилого комплекса благоустроена. Внимание уделили придомовой территории, где кроме традиционного ландшафтного озеленения c системой автоматического полива установлены современные детские и спортивные площадки. На первых этажах расположены коммерческие помещения. Для владельцев автомобилей предусмотрена стоянка и подземный паркинг.

ЖК находится в мкр. Камвольно Суконный Комбинат. Инфраструктура района развита, в пешей доступности: детский сад, школа, медицинские учреждения, магазины, салоны красоты, магазины. До центра Краснодара — 15 минут транспортом."
100,"Жилой комплекс представляет собой 8 кирпично-монолитных корпусов высотой в 24 этажа. Дома имеют округлую форму. Фасад выполнен из вентилируемых материалов в белых и синих цветах. Во всех подъездах установлены современные скоростные бесшумные лифты и спроектированы дизайнерские входные группы. 

В комплексе предложено множество планировочных решений: в наличии квартиры, как классического типа, так и европланировки. Они сдаются с подчистовой отделкой. 

На территории комплекса ведется видеонаблюдение. Внутренний двор оснащен современными детскими и спортивными площадками. На территории комплекса спроектирован ландшафтный дизайн, выполнено озеленение. Во дворе работает Wi-Fi. Для владельцев автомобилей предусмотрен наземный паркинг.

ЖК расположен в микрорайоне Черёмушки. В 15 минутах пешком находятся: детский сад, школа, больница, магазины. Торгово-развлекательных центры «СБС Мегамолл» – 10 минут транспортом."
